파일명,필드수
2006년1월기준+개별공시지가+결정지가,5
2006년1월기준+의정부시+공시지가,5
2007~2012년+여러사람이+이용하는+시설의+시간대별+사고현황,14
2007~2012년+여러사람이+이용하는+시설의+월별+사고현황,13
2007~2012년+여러사람이+이용하는+시설의+전기원인별+업종+현황,10
2007년+1월+1일+기준+개별공시지가,6
2007년1월기준+개별공시지가+결정지가,5
2007년1월기준+의정부시+공시지가,5
2008년+1월+1일+기준+개별공시지가,6
2008년+보훈병원+진료DB(진료과별),4
2008년1월기준+개별공시지가+결정지가,5
2008년1월기준+의정부시+공시지가,5
2008년1월기준_연수구_공시지가,6
2009+분당화력+대기물질+배출현황,6
2009+삼천포화력본부+대기물질+배출현황,6
2009+여수화력+대기물질+배출현황,6
2009+영동화력+대기물질+배출현황,6
2009+영흥화력본부+대기물질+배출현황,6
2009-2013년_5년간_탐방객_안전사고_발생현황,6
2009-2014년_전국_주유소_신규등록_및_휴폐업_현황,5
2009~2014.9월+고용창출지원현황,7
2009~2015년+충청남도+소방서별+기초소방시설+보급실적(2015.12.31.기준),5
2009년+1월+1일+기준+개별공시지가,6
2009년+보훈병원+진료DB(진료과별),6
2009년1월기준+개별공시지가+결정지가,5
2009년1월기준+의정부시+공시지가,5
2009년1월기준_연수구_공시지가,6
2009년도+전국다문화가족지원센터+통번역지원사+배치현황,3
2010+분당화력+대기물질+배출현황,6
2010+삼천포화력본부+대기물질+배출현황,6
2010+여수화력+대기물질+배출현황,6
2010+영동화력+대기물질+배출현황,6
